"StudentNr","BrandNr","Week","LnSales","LnAdvertising","LnPrice","LnCompAdvertising","LnCompPrice","Qrtr1","Qrtr2","Qrtr3","Qrtr4"
5065623,"85",1,15.9987768365973,13.063644688144,-4.7695732422797,0,-6.40516346014325,1,0,0,0
5065623,"85",2,15.9657162015759,14.0931922933126,-4.80630765703969,0,-6.20515293965144,1,0,0,0
5065623,"85",3,15.9596191281493,13.8748176062795,-4.84139897685096,8.41116578677071,-6.05121455151376,1,0,0,0
5065623,"85",4,15.8957135596598,13.4545349508453,-4.81589121730374,0,-6.03478967184636,1,0,0,0
5065623,"85",5,15.8743087340265,13.7409389398819,-4.82034556765312,0,-6.04233687748174,1,0,0,0
5065623,"85",6,16.0198755815288,13.3489027563637,-4.84291988969166,0,-6.05632311945648,1,0,0,0
5065623,"85",7,16.0325246906158,13.4586013008621,-4.86913573182256,0,-6.09682506276581,1,0,0,0
5065623,"85",8,15.9471315138115,14.9663724169756,-4.85286261022371,0,-6.07833048012964,1,0,0,0
5065623,"85",9,15.9791307808367,14.6904775027747,-4.81145662023588,0,-6.09283304149627,1,0,0,0
5065623,"85",10,16.0531090294388,14.4988503024611,-4.83156903002297,0,-6.09682506276581,1,0,0,0
5065623,"85",11,15.9615920050763,14.6969017230699,-4.85286261022371,0,-6.10889764400008,1,0,0,0
5065623,"85",12,15.9068878345153,14.2916708211855,-4.79681507024293,0,-6.12934825447137,1,0,0,0
5065623,"85",13,15.8166869985913,14.4705565185046,-4.79899768296825,8.91206909797013,-6.12248480954639,0,1,0,0
5065623,"85",14,15.8660849231743,0,-4.80484138111716,0,-6.11566815056729,0,1,0,0
5065623,"85",15,15.932375766384,0,-4.77809602114168,0,-6.10620222457841,0,1,0,0
5065623,"85",16,15.9681268150206,0,-4.73345820628962,0,-6.11975256740951,0,1,0,0
5065623,"85",17,15.8237127782054,0,-4.71654877397148,0,-6.11566815056729,0,1,0,0
5065623,"85",18,15.8103928954379,0,-4.77382555201823,0,-6.09283304149627,0,1,0,0
5065623,"85",19,15.810966503994,0,-4.772406105364,0,-6.01616715974835,0,1,0,0
5065623,"85",20,15.7980531834662,0,-4.76745384904554,13.9519879817743,-6.04994147686696,0,1,0,0
5065623,"85",21,15.6395697299261,0,-4.7266600835758,0,-6.03478967184636,0,1,0,0
5065623,"85",22,15.7995501656305,0,-4.78166872947926,11.816527637454,-6.02978966142965,0,1,0,0
5065623,"85",23,15.915633752249,0,-4.82183477120459,12.6896185379983,-6.07180729979052,0,1,0,0
5065623,"85",24,15.7466832131068,10.8908144003841,-4.80777608608475,12.4412040544897,-5.98588016881408,0,1,0,0
5065623,"85",25,15.7885385297192,0,-4.80191526344777,13.0098327735456,-5.99306582847496,0,1,0,0
5065623,"85",26,15.6598501432696,0,-4.82481984804804,12.3640630868858,-6.04107504766132,0,0,1,0
5065623,"85",27,15.7040482198474,0,-4.78885266842139,11.5533857940974,-6.05504352875085,0,0,1,0
5065623,"85",28,15.66586435406,0,-4.78813194766947,9.95261099449568,-6.03604359050595,0,0,1,0
5065623,"85",29,15.6930412188032,0,-4.77311557683754,12.4930056875287,-6.00637515984374,0,0,1,0
5065623,"85",30,15.7374189557296,14.3890523559018,-4.76604341157618,0,-6.00151488296148,0,0,1,0
5065623,"85",31,15.8170332599654,13.8366759817216,-4.76604341157618,0,-6.0260559918776,0,0,1,0
5065623,"85",32,15.7852647366688,13.8691375770966,-4.74098990913063,0,-6.04360030152851,0,0,1,0
5065623,"85",33,15.7873925011083,14.1935983027619,-4.73824454021343,0,-6.02357460102622,0,0,1,0
5065623,"85",34,15.8253527943133,12.9716009509581,-4.75762230917977,8.92172453036431,-6.01125917443616,0,0,1,0
5065623,"85",35,15.7608431116721,13.0145799288137,-4.79972628045039,0,-5.99909357427247,0,0,1,0
5065623,"85",36,15.8508583525236,12.787131171627,-4.80704160202676,0,-5.99667811416087,0,0,1,0
5065623,"85",37,15.7996194695878,12.4867905241803,-4.81960179670028,0,-6.00515787423998,0,0,1,0
5065623,"85",38,15.864334889987,13.6348168754637,-4.84444311923219,14.1298547656374,-5.99667811416087,0,0,1,0
5065623,"85",39,15.9603261310208,13.8632392065444,-4.87148223270368,0,-6.01493790329362,0,0,0,1
5065623,"85",40,15.9664307789491,13.910262400109,-4.90979497917018,10.2983297703404,-6.0285435553494,0,0,0,1
5065623,"85",41,15.9888016678199,13.7938281850528,-4.89285225843987,12.6537316067302,-6.06145791892852,0,0,0,1
5065623,"85",42,15.9040052459694,14.8504820557477,-4.86601560448631,14.46531225017,-6.04994147686696,0,0,0,1
5065623,"85",43,15.9663001954116,14.812893047067,-4.91305496575739,12.6025070997526,-6.03981480804903,0,0,0,1
5065623,"85",44,16.0057857105545,14.8385066607729,-4.91223897224006,12.2564948105947,-6.05888722342542,0,0,0,1
5065623,"85",45,16.0435985877339,14.5775917416118,-4.93617738317825,12.7227958443622,-6.03228654162824,0,0,0,1
5065623,"85",46,16.0063145674976,14.6618255068808,-4.91223897224006,13.5050851385356,-6.04233687748174,0,0,0,1
5065623,"85",47,16.1151786005006,14.7729896812272,-4.91223897224006,12.251222859779,-6.05121455151376,0,0,0,1
5065623,"85",48,16.1814202480882,14.9585626091312,-4.87304963114369,12.1131620843368,-6.03478967184636,0,0,0,1
5065623,"85",49,16.3037989830987,13.621866341104,-4.88726788014597,12.2280738346094,-5.98588016881408,0,0,0,1
5065623,"85",50,15.5274277994214,12.8402152974637,-4.87619181754676,0,-5.99909357427247,0,0,0,1
